baseline_size_status,circuit,delta_depth_vs_paper_rl1,delta_size_vs_paper_rl1,duplicate_jsons,hydra_config_path,initial_depth,initial_size,json_path,max_final_depth,max_final_size,mean_final_depth,mean_final_size,mean_normalized_improvement_vs_resyn2_2,min_final_depth,min_final_size,n_runs,normalized_delta_size_vs_paper_rl1,paper_initial_depth,paper_initial_size,paper_resyn2_1_size,paper_resyn2_2_size,paper_resyn2_inf_size,paper_rl1_depth,paper_rl1_size,resyn2_1_size,resyn2_2_size,resyn2_inf_size,std_final_depth,std_final_size,win_rate_vs_resyn2_2,win_rate_vs_resyn2_inf
"toolchain_or_benchmark_drift:initial_size,resyn2_1_size,resyn2_2_size,resyn2_inf_size",apex1,2.1000000000000014,-5.2999999999999545,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/11:26_zhu2020_apex1_reproduce_78666/.hydra/config.yaml,27.0,2655.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_apex1_reproduce_78666.json,23.0,1926.0,21.3,1916.3,0.018342749529190218,20.0,1905.0,10,-0.0019887429643527035,27,2665,1999,1966,1941,19.2,1921.6,2002.0,1965.0,1929.0,1.1,6.8854919940408035,1.0,1.0
"toolchain_or_benchmark_drift:resyn2_1_size,resyn2_2_size,resyn2_inf_size",bc0,2.8999999999999986,1.2000000000000455,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/12:02_zhu2020_bc0_reproduce_78666/.hydra/config.yaml,31.0,1592.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_bc0_reproduce_78666.json,23.0,835.0,21.5,820.6,0.0341708542713568,21.0,812.0,10,0.0007537688442211341,31,1592,933,899,875,18.6,819.4,919.0,875.0,847.0,0.6708203932499369,7.696752561957543,1.0,1.0
"toolchain_or_benchmark_drift:resyn2_1_size,resyn2_2_size,resyn2_inf_size",c1355,4.199999999999999,-0.19999999999998863,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/12:28_zhu2020_c1355_reproduce_78666/.hydra/config.yaml,26.0,504.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_c1355_reproduce_78666.json,24.0,386.0,21.8,386.0,0.001984126984126977,20.0,386.0,10,-0.0003968253968253743,25,504,390,390,390,17.6,386.2,387.0,387.0,387.0,1.3266499161421599,0.0,1.0,1.0
"toolchain_or_benchmark_drift:initial_size,resyn2_1_size,resyn2_2_size,resyn2_inf_size",c5315,2.1000000000000014,-11.900000000000091,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/12:50_zhu2020_c5315_reproduce_78666/.hydra/config.yaml,38.0,1773.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_c5315_reproduce_78666.json,33.0,1348.0,29.3,1325.5,-0.018330513254371118,26.0,1295.0,10,-0.006685393258427017,37,1780,1306,1295,1294,27.2,1337.4,1304.0,1293.0,1289.0,2.3685438564654024,19.06436466289921,0.0,0.0
match,c6288,1.0,0.0,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/13:24_zhu2020_c6288_reproduce_78666/.hydra/config.yaml,120.0,2337.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_c6288_reproduce_78666.json,89.0,1870.0,89.0,1870.0,0.0,89.0,1870.0,10,0.0,120,2337,1870,1870,1870,88.0,1870.0,1870.0,1870.0,1870.0,0.0,0.0,0.0,0.0
"toolchain_or_benchmark_drift:initial_size,resyn2_1_size,resyn2_2_size,resyn2_inf_size",c7552,24.9,-58.90000000000009,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/11:30_zhu2020_c7552_reproduce_78668/.hydra/config.yaml,29.0,2074.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_c7552_reproduce_78668.json,61.0,1368.0,52.3,1336.5,0.015670202507232424,46.0,1319.0,10,-0.02814142379359775,29,2093,1469,1416,1398,27.4,1395.4,1408.0,1369.0,1338.0,5.386093203798093,13.771347065556078,1.0,0.5
"toolchain_or_benchmark_drift:resyn2_1_size,resyn2_2_size,resyn2_inf_size",dalu,12.599999999999994,-20.0,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/12:13_zhu2020_dalu_reproduce_78668/.hydra/config.yaml,35.0,1371.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_dalu_reproduce_78668.json,48.0,1043.0,45.8,1019.8,0.04172137126185266,43.0,998.0,10,-0.014587892049598834,35,1371,1106,1103,1103,33.2,1039.8,1083.0,1077.0,1077.0,1.3266499161421599,14.019985734657507,1.0,1.0
"toolchain_or_benchmark_drift:resyn2_1_size,resyn2_2_size,resyn2_inf_size",i10,12.900000000000006,5.2000000000000455,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_i10_reproduce_76786.json,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/12:44_zhu2020_i10_reproduce_78668/.hydra/config.yaml,50.0,2675.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_i10_reproduce_78668.json,55.0,1774.0,53.2,1735.4,0.02003738317757011,51.0,1689.0,10,0.0019439252336448769,50,2675,1829,1804,1789,40.3,1730.2,1816.0,1789.0,1762.0,1.2489995996796797,29.678948768445288,1.0,0.7
"toolchain_or_benchmark_drift:resyn2_1_size,resyn2_2_size,resyn2_inf_size",k2,2.1999999999999993,-66.20000000000005,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/13:22_zhu2020_k2_reproduce_78668/.hydra/config.yaml,23.0,1998.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_k2_reproduce_78668.json,29.0,1089.0,22.0,1062.2,0.04294294294294293,14.0,1045.0,10,-0.03313313313313315,23,1998,1234,1186,1145,19.8,1128.4,1201.0,1148.0,1085.0,4.242640687119285,13.898201322473351,1.0,0.9
"toolchain_or_benchmark_drift:resyn2_1_size,resyn2_2_size,resyn2_inf_size",mainpla,3.8999999999999986,12.199999999999818,,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/outputs/13:53_zhu2020_mainpla_reproduce_78668/.hydra/config.yaml,38.0,5346.0,/Users/fedor.chernogorskii/workspace/circ/GFlowCircuit/output/zhu2020_mainpla_reproduce_78668.json,30.0,3491.0,28.9,3450.6,0.02383090160867939,27.0,3417.0,10,0.0022820800598578037,38,5346,3678,3583,3504,25.0,3438.4,3676.0,3578.0,3492.0,0.8306623862918074,20.86719914123599,1.0,1.0
